MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,5,2024,Solar,HU,B16,09/09/2024 16:26,100,671.2650625,
Monthly Domestic Values,3,2024,Fossil Gas,MK,B04,09/09/2024 16:26,100,29.59087,
Monthly Domestic Values,1,2024,Biomass,LV,B01,09/09/2024 16:26,100,45.174,
Monthly Domestic Values,6,2024,Wind Offshore,BE,B18,09/09/2024 16:26,100,373.53739,
Monthly Domestic Values,6,2024,Solar,MD,B16,09/09/2024 16:26,100,2.189,
Monthly Domestic Values,5,2024,Fossil Hard coal,DE,B05,09/09/2024 16:26,100,1087.033435,
Monthly Domestic Values,2,2024,Hydro Water Reservoir,NO,B12,09/09/2024 16:26,100,10389.1684,
Monthly Domestic Values,4,2024,Fossil Coal-derived gas,CZ,B03,09/09/2024 16:26,100,4.32942,
Monthly Domestic Values,1,2024,Wind Onshore,RS,B19,09/09/2024 16:26,100,80.05427,
Monthly Domestic Values,4,2024,Waste,HU,B17,09/09/2024 16:26,100,5.4517725,
Monthly Domestic Values,5,2024,Waste,BG,B17,09/09/2024 16:26,100,2.48051,
Monthly Domestic Values,2,2024,Other renewable,CZ,B15,09/09/2024 16:26,100,199.39287,
Monthly Domestic Values,4,2024,Wind Onshore,CZ,B19,09/09/2024 16:26,100,62.33359,
Monthly Domestic Values,3,2024,Biomass,FR,B01,09/09/2024 16:26,100,255.8,
Monthly Domestic Values,3,2024,Wind Offshore,DK,B18,09/09/2024 16:26,100,980.43588,
Monthly Domestic Values,2,2024,Fossil Hard coal,SK,B05,09/09/2024 16:26,100,57.424,
Monthly Domestic Values,3,2024,Fossil Gas,SK,B04,09/09/2024 16:26,100,174.9708,
Monthly Domestic Values,5,2024,Fossil Gas,CZ,B04,09/09/2024 16:26,100,200.54792,
Monthly Domestic Values,1,2024,Biomass,DE,B01,09/09/2024 16:26,100,3169.130363,
Monthly Domestic Values,6,2024,Wind Onshore,SE,B19,09/09/2024 16:26,100,2181.43881,
Monthly Domestic Values,5,2024,Fossil Brown coal/Lignite,XK,B02,09/09/2024 16:26,100,526.56084,
Monthly Domestic Values,3,2024,Nuclear,CH,B14,09/09/2024 16:26,100,2171.74195,
Monthly Domestic Values,4,2024,Wind Onshore,ME,B19,09/09/2024 16:26,100,22.5619,
Monthly Domestic Values,1,2024,Biomass,IT,B01,09/09/2024 16:26,100,342.77,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,IE,B10,09/09/2024 16:26,100,25.39997,
Monthly Domestic Values,3,2024,Wind Onshore,GE,B19,09/09/2024 16:26,100,8.18196,
Monthly Domestic Values,6,2024,Biomass,SI,B01,09/09/2024 16:26,100,7.88506,
Monthly Domestic Values,6,2024,Biomass,MD,B01,09/09/2024 16:26,100,1.422,
Monthly Domestic Values,5,2024,Hydro Pumped Storage,PT,B10,09/09/2024 16:26,100,507.3283,
Monthly Domestic Values,1,2024,Fossil Hard coal,DK,B05,09/09/2024 16:26,100,518.10043,
Monthly Domestic Values,4,2024,Nuclear,ES,B14,09/09/2024 16:26,100,3525.136,
Monthly Domestic Values,6,2024,Fossil Gas,PL,B04,09/09/2024 16:26,100,891.251065,
Monthly Domestic Values,5,2024,Hydro Water Reservoir,SK,B12,09/09/2024 16:26,100,32.1092,
Monthly Domestic Values,3,2024,Other,LT,B20,09/09/2024 16:26,100,9.69389,
Monthly Domestic Values,2,2024,Wind Onshore,LU,B19,09/09/2024 16:26,100,59.898235,
Monthly Domestic Values,5,2024,Waste,LT,B17,09/09/2024 16:26,100,61.6423,
Monthly Domestic Values,3,2024,Waste,FI,B17,09/09/2024 16:26,100,16.77412,
Monthly Domestic Values,1,2024,Biomass,BE,B01,09/09/2024 16:26,100,53.75838,
Monthly Domestic Values,2,2024,Fossil Oil,FI,B06,09/09/2024 16:26,100,0.97082,
Monthly Domestic Values,4,2024,Biomass,HU,B01,09/09/2024 16:26,100,78.988735,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,FR,B10,09/09/2024 16:26,100,592.884,
Monthly Domestic Values,2,2024,Fossil Gas,RS,B04,09/09/2024 16:26,100,179.08,
Monthly Domestic Values,6,2024,Solar,LU,B16,09/09/2024 16:26,100,42.5788175,
Monthly Domestic Values,2,2024,Wind Onshore,BA,B19,09/09/2024 16:26,100,16.56956,
Monthly Domestic Values,3,2024,Other renewable,SK,B15,09/09/2024 16:26,100,40.5532,
Monthly Domestic Values,6,2024,Biomass,FI,B01,09/09/2024 16:26,100,482.935885,
Monthly Domestic Values,4,2024,Waste,CZ,B17,09/09/2024 16:26,100,16.84785,
Monthly Domestic Values,2,2024,Fossil Oil,DK,B06,09/09/2024 16:26,100,48.49629,
Monthly Domestic Values,5,2024,Fossil Brown coal/Lignite,RO,B02,09/09/2024 16:26,100,501.7715,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,SI,B10,09/09/2024 16:26,100,28.37023,
